!Sample_title	A7_tophat	B7_tophat	C7_tophat	D7_tophat	E7_tophat	G7_tophat	H7_tophat	A8_tophat	B8_tophat	C8_tophat	D8_tophat	E8_tophat	F8_tophat	G8_tophat	H8_tophat	A9_tophat	B9_tophat	C9_tophat	D9_tophat	E9_tophat	F9_tophat	G9_tophat	H9_tophat
ENSG00000111331	31.121017040149	0	0	4.1048326072802	1.29037192793643	37.5203775456446	3.59264501838145	0	5.67933056755821	1.55013660695109	0	0	0.723513681982641	6.03961644667738	3.55822898847087	0	1.91133997362869	7.74369598413113	0	0	0.129079268934127	2.8998404243913	0.129903010785256
ENSG00000111341	0	0	0	0	0	0	0.468026304892405	0.59161351342171	38.338513802815	0	0	0	56.875938106795	0	0	387.190536115199	0	0	0	0	0	0	0
ENSG00000111348	193.653952544218	62.757975850621	370.77434810791	794.8950410268	82.730111020103	40.4427691350872	103.41644608732	10.3985503648328	153.011928757273	115.175918959755	113.113820412478	691.200331071788	660.100613809507	800.782011400077	236.277605412553	602.409330281606	187.565010970627	319.991206575324	11.4030741287554	71.5124102875188	558.863678362014	286.531806151882	278.41057998386
ENSG00000111358	0	2.93008834066327	55.7901728963341	37.1317221212348	4.66266337849251	0.886414547067415	57.799726046113	70.3273901765717	0	31.3215763749754	97.3880835367335	4.60239700432363	0	18.706034272348	21.1228662984573	0	50.252903393066	48.549323593439	0.299915688421469	35.3375472378082	0	1.65176095693298	19.0440219422496
ENSG00000111361	0.326251922153573	0	22.9238309574043	79.1507784735525	22.9943186535228	82.6199944981764	19.4105103007527	0.430457144174219	0	9.3197163008838	0	13.6106409515351	2.11616851826968	0.254433698401572	0	0	0	4.16378205050935	0	0	53.442518536404	63.0107867776901	8.27439558193991
ENSG00000111364	0	0.273215097638325	0.159901716013696	24.2739782861604	1.39747008803861	0	5.40392640274351	0	0	1.59885208559846	0.533474351137174	6.94543702080177	0	0	4.06764088418497	0	21.8957585878758	0.203306823957317	9.85785181550803	0	9.13311504214184	0.144391774236616	13.6933096193923
ENSG00000111371	14.4148295598026	39.6717869976956	11.8600292250917	23.7532921655311	47.3961511558566	16.4815221070188	24.7887573780152	26.9694832463446	48.2787433778127	1.8244315161477	95.2680254089381	33.3444914633347	50.4110854133507	1.10573862099151	22.2305226487973	0.579226114085649	25.4049113105229	27.9549217467996	16.8730200520658	19.1028657916861	6.91234629240201	24.8793298644416	70.9558780767651
ENSG00000111412	0	18.6494847100886	0	1.3961290497077	2.76493908692957	0	0.712789369004534	0	24.953338191795	0	21.3444746274393	2.12271219174483	9.74478016775224	0	0	0	2.18427508620642	5.22923736052542	0.13832676488137	0	0	0.571367450130209	0
ENSG00000111445	0.36420920949554	0	1.12487338295138	4.21941223911659	41.7813017580468	0.436086491853665	0.380154330135752	0	0	1.96832519913103	0.312739554980795	0	0	0.284035402924746	10.9188657296132	0.255065274263192	0	32.179922218618	11.0661411905096	28.0401590091803	47.859287474429	18.0298173152199	1.31958109201495
ENSG00000111450	6.35678604163851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.624064030132747	0	0	0	0	0
ENSG00000111481	153.488273559449	38.8186756182575	13.3503381446369	61.6017517188227	19.5597251742437	26.6952341410902	12.981281251744	37.2206946317739	66.8869191213563	61.124184908116	81.2664275850737	22.8279984281156	63.8354900168939	64.1084869345752	15.3655945250126	0.637303570428949	61.9876477510789	76.5331105787418	21.8125812499834	25.3970631441039	38.7681858017221	16.4968619951463	113.200167572296
ENSG00000111490	0	0	0	0	1.53891922661359	0	0	0	0	0	0	0	0	0	1.6974414537392	0	0.121573127678156	0	0.277165377181357	0	0	0	0
ENSG00000111530	2.68639966101657	7.14551019729672	16.1926161906369	5.07878110315344	12.540240107646	0.674441052963136	35.5476175403988	28.6985194831119	83.8431947195366	61.0840180594732	13.1708585940294	14.5317565495648	0.624544791550847	21.4234664694612	8.95854613202524	2.00273405424216	30.1819734894903	11.2298619814103	0.0877673446306985	5.00379769063495	33.1482274177648	35.3465353220793	5.1805758309252
