!Sample_title	B1_tophat	C1_tophat	D1_tophat	F1_tophat	A2_tophat	C2_tophat	D2_tophat	E2_tophat	F2_tophat	G2_tophat	H2_tophat	C3_tophat	E3_tophat	F3_tophat	G3_tophat	H3_tophat	B4_tophat	D4_tophat	F4_tophat	C5_tophat	D5_tophat	E5_tophat	F5_tophat	G5_tophat	A6_tophat	B6_tophat	D6_tophat	G6_tophat
ENSG00000188827	0	3.61393666972716	0	0	0	0	0	0	0	0.32023161955101	0.577519407514856	0	0	0	0	0	0	0	0	0	4.04860169538659	0	0.745544920320321	0	0	0	0	0
ENSG00000188846	10.9021016391249	2.89941445745149	4.84039057055327	5.98657353965076	5.72185119965724	9.85023315677992	1.58427144887233	10.8139792152021	6.21138243782301	2.65776899640885	5.17658509965699	2.6549114262576	11.9169934298295	12.3865348681836	4.64556018156795	5.73918409094028	2.83165507408684	5.63733359572121	8.367782156456	7.56660831166406	6.33627420118129	16.1954485454493	7.72220666228931	4.73577390410135	2.93212554616568	5.85937682094187	0	0
ENSG00000188856	2.22952889376698	4.85600130280688	0	0	0	2.89953969459404	0	0	0	0	3.35234407429738	3.22371424027281	2.21199830706037	2.57833614316968	1.76967859592851	0	1.01876279066871	0	1.17803383081325	2.26159262981338	1.11909707738308	5.07490334034604	4.32768676383235	0.958398688456697	0	0	0	0
ENSG00000188873	0	1.31869393177141	8.76274100351226	9.28947352995637	8.0859581337227	0	4.17918211558799	12.9665533375498	6.46781565773313	1.40219665828885	10.6208821436455	5.83620437382723	28.0321742643981	4.66781344573839	3.60429952565256	1.61058630907837	4.14982274364136	2.7037886903915	1.59953217394827	4.60617948457404	6.07803183312647	6.8906944437726	3.91741676481461	9.10918386459759	0	1.79727560121771	0	0
ENSG00000188878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00837299797802	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188895	21.144506009942	2.21523466218623	1.54950185650859	0	0	0	0	0	10.2932440074131	1.85961189912311	0	1.67701127437742	15.4017521707229	16.8175695870827	22.5194412434174	7.6895317143993	0	2.74911379484041	0	0.135750591812511	3.35865284816878	0	4.1562642652785	0.460217945301904	2.65945059902027	18.1151385324304	2.92810960149893	9.39145132812261
ENSG00000188910	18.2472042181113	4.33561373127022	0	0	0	0	1.14502936891267	29.9999798486977	0	0	32.4251864211889	0.799513544298912	0	2.87753979279599	0	0	0	0	0	0	0.416320990664507	0	0	109.813940045103	0	2.46212451444572	0	0
ENSG00000188916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3461602554848	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188917	0	0	46.0324057254085	0	4.78178239325944	0	0	3.25309665320196	5.56343798130041	0	0	0	0	0	0	1.55855503744106	0	60.8322450284804	32.5050183136949	0	11.2732126798876	1.11134751324964	0	0	0	0	0	0
ENSG00000188921	0	0	0	0	5.97081567610336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188938	0	1.39213209262066	0	0	17.0725314590949	0	0	0	0	0	0	0	0	0	0	0	52.0843504536876	0	20.5447578823347	0	1.6041294668542	0	0	0	0	0	0	0
ENSG00000188976	6.61251140400865	0.46710191264407	0.443414176073325	0.914021136274819	6.04658577177819	0	1.23360945278685	0	0	0	1.0748804975541	0.516818603603946	0	0	0.709277213027855	3.80329823483391	0.163325755211016	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188981	0	4.45314542880465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188985	0	24.6848180716566	13.1810614737217	0	3.15337902173801	0	0	16.8557461394505	0	31.169401924682	0	5.12103442819724	0	0	0	1.88429954586271	37.2222025699782	0	67.3692048362039	0	5.33322829006893	0	0	0	5.02733352439379	0	0	0
ENSG00000188986	0	1.27814128399926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32551472788922	0	0	0	0	0	0	0	0	0
ENSG00000188994	21.4902945016205	2.6277447634933	0	8.40708676183818	48.3383603240827	5.29550302541031	0	0	38.1279900786081	0	4.23281957461559	6.46903777770772	0.0498744286174489	13.5452991409298	5.38668164939847	15.7260356065586	0.758019114812004	3.03064065959103	0	4.35987098379929	18.2431236545246	0	24.7846436358906	69.6897766606309	10.1682109541793	2.05930984106618	0.989909813632887	0
ENSG00000188997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26479760583244	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189007	5.79459997365389	0	0.11410318798003	6.06825957280913	0.245677891728439	0	108.375074839394	0	14.935020183599	0	0	0	0	0.425470382371137	0	0	0	0	0	1.25955737264589	0	0	0	3.67704517015135	21.7380500247464	4.75081938016658	0	0
ENSG00000189042	57.6260537529526	25.5587672296762	0	19.7194836067745	0	0	0	0	0	0.194122907392233	11.7630091819546	0	0	0	2.16227452491519	58.1958974262961	3.0640520173203	14.224080553262	0.88576972206788	0	10.9389133457327	0	6.77918756400495	151.151077827745	0.29744701948943	0	0	0
ENSG00000189043	24.4972308597479	51.9007671302023	51.5710471657774	25.057545022312	36.1867091507489	18.463773015857	40.7364483944069	23.8473731236152	36.0822629409758	29.9145802262163	58.8790780383345	24.9556821164876	69.5995687796317	38.6315381631273	33.3651101758804	28.7323887163424	39.4326519987744	27.5982615565637	52.6577147006265	29.6500136113329	24.0335223862743	69.701428330287	15.1298655365477	59.3538787307895	52.5544383490024	10.5774420085164	0.609089615362417	0
ENSG00000189046	14.2650905464951	11.6747601627657	13.5852551103735	18.570833982594	3.0790198657669	7.87054093519499	14.9191326615423	5.76039603874846	25.8599651363339	53.26020512283	41.1650285455207	2.91682790648265	0.285917685104746	19.6629093468626	0	0.459966570365612	37.5296196597435	0	34.260721891774	6.13889073664628	0	0	0	0	8.59037383447725	0	27.4287150631589	0
